行け。 	 Go.
本当に素敵な名前ね。 	 That's a very pretty name.
あれは私の妹のカメラです。 	 That's my sister's camera.
全く悪いというわけではない。 	 That's not altogether bad.
それは全くの真実です。 	 That's the absolute truth.
それはこっちのセリフですよ。 	 That's what I want to say.
ワニが犬を食べた。 	 The alligator ate the dog.
聴衆は退屈そうだった。 	 The audience looked bored.
観客はつまらなさそうだった。 	 The audience looked bored.
その赤ん坊はまだ歩かない。 	 The baby doesn't walk yet.
赤ちゃんはぐっすり眠っていました。 	 The baby was sound asleep.
その箱は本で一杯でした。 	 The box was full of books.
バスは北へ向かっていた。 	 The bus was heading north.
食堂は混雑していた。 	 The cafeteria was crowded.
猫は私の手を引っ掻いた。 	 The cat scratched my hand.
とうがらしで舌がひりひりした。 	 The chili burnt my tongue.
音楽会は成功だった。 	 The concert was a success.
医者は彼女にそれを与えた。 	 The doctor gave it to her.
その犬は私のブーツに噛みついた。 	 The dog chewed up my boot.
その犬はかみついたりしませんよ。 	 The dog will not harm you.
1番目が一番良いというわけじゃなかった。 	 The first wasn't the best.
フォワードがゴールを決めた。 	 The forward kicked a goal.
ヘッドライトが故障したんです。 	 The headlights don't work.
その家は彼が所有している。 	 The house is owned by him.
ハンターは鹿を狙って撃った。 	 The hunter shot at a deer.
洗濯物はまだ湿っている。 	 The laundry is still damp.
洗濯物はまだ乾いてないよ。 	 The laundry isn't yet dry.
レモンはすっぱい果物だ。 	 The lemon is a sour fruit.
会議はここで開かれた。 	 The meeting was held here.
蚊帳が破けちゃった。 	 The mosquito net was torn.
オペラは７時に始まります。 	 The opera starts at seven.
給料は歩合制です。 	 The pay is based on sales.
飛行機は時間どおり到着した。 	 The plane arrived on time.
飛行機は午後７時に到着する予定です。 	 The plane is due at 7 p.m.
その池は３メートルの深さです。 	 The pond is 3 meters deep.
池の深さは３メートルあります。 	 The pond is 3 meters deep.
囚人は自由を与えられた。 	 The prisoner was released.
その予言は本当になった。 	 The prophecy came to pass.
その部屋はとっても混んでいた。 	 The room was very crowded.
学校は丘の上だ。 	 The school is on the hill.
状況は絶望的だ。 	 The situation is hopeless.
空には星がいっぱい見えた。 	 The sky was full of stars.
その兵士は自分の名前を言った。 	 The soldier gave his name.
駅まではちょっと遠いよ。 	 The station is pretty far.
駅まではだいぶあるよ。 	 The station is pretty far.
シチューは決して悪い味ではなかった。 	 The stew was not half bad.
その店は７時に閉店します。 	 The store closes at seven.
その通りはとても細いんだ。 	 The street is very narrow.
気温が上昇しています。 	 The temperature is rising.
電車は時間どおりに着いた。 	 The train arrived on time.
今日の電車は本当に満杯だ。 	 The train is packed today.
二本の道はそこでクロスしている。 	 The two roads cross there.
ついに戦いの幕が切って落とされた。 	 The war finally broke out.
今日はいい天気だ。 	 The weather is nice today.
その女性は赤ちゃんを抱きしめた。 	 The woman hugged the baby.
少女はトムに抱きついた。 	 The young girl hugged Tom.
二人の結婚式は明日だよ。 	 Their wedding is tomorrow.
コメントはまだありません。 	 There are no comments yet.
何も問題はない。 	 There aren't any problems.
食べるものは何も残っていない。 	 There isn't any food left.
交通量は少なかった。 	 There wasn't much traffic.
ドアの側に犬がいます。 	 There's a dog by the door.
黄色のもあるよ。 	 There's also a yellow one.
疑いの余地はありません。 	 There's no doubt about it.
コーヒーが足りません。 	 There's not enough coffee.
やるべきことがまだたくさん残っている。 	 There's still a lot to do.
このホットケーキ美味しい。 	 These pancakes taste good.
この靴は小さすぎる。 	 These shoes are too small.
二人は部屋にいます。 	 They are both in the room.
彼らは週に一度肉を食べる。 	 They eat meat once a week.
彼女たちはたった今下校した。 	 They have left school now.
彼らは１２人の子持ちです。 	 They have twelve children.
彼らは学校の近くに住んでいる。 	 They live near the school.
彼らは互いに微笑みあった。 	 They smiled at each other.
彼らはサンドイッチを食べている。 	 They're eating sandwiches.
彼らは手厚い看護を受けている。 	 They're well looked after.
この本、読みやすいよ。 	 This book is easy to read.
この本は非売品です。 	 This book is not for sale.
この車は運転しやすいな。 	 This car is easy to drive.
このコーヒーはビターテイストだね。 	 This coffee tastes bitter.
このドアは自動的に鍵がかかる。 	 This door locks by itself.
このワンピースは、君の雰囲気にぴったりだね。 	 This dress suits you well.
この映画は見る価値がある。 	 This film is worth seeing.
このコップには水が入っている。 	 This glass contains water.
長い一週間だった。 	 This has been a long week.
この家は売り物ではありません。 	 This house isn't for sale.
この考え方は合理的ではない。 	 This idea is not rational.
これ、いい辞書だよ。 	 This is a good dictionary.
プレゼントをどうぞ。 	 This is a present for you.
それは、結構すごいことだよね。 	 This is a pretty big deal.
ここは立入禁止です。 	 This is a restricted area.
これは重大なミスだよ。 	 This is a serious mistake.
私が言いたいことはこれで全部です。 	 This is all I want to say.
これは上等なワインだ。 	 This is an excellent wine.
これは私が一番好きな色です。 	 This is my favorite color.
こちらが私の妹です。 	 This is my younger sister.
こっちの方がそっちのより小さいよ。 	 This is smaller than that.
ここが理想の場所だ。 	 This is the perfect place.
これは本物のダイヤじゃないんだ。 	 This isn't a real diamond.
これは飲料水ではない。 	 This isn't drinking water.
これは私が注文した物ではありません。 	 This isn't what I ordered.
この機械は価値がない。 	 This machine is worthless.
この場所はなんでもある。 	 This place has everything.
この部屋は十分大きい。 	 This room is large enough.
本当にこのサラダ美味しい。 	 This salad is really good.
このシミが取れないんだ。 	 This stain won't come out.
このタイヤはだいぶん磨り減っている。 	 This tire is showing wear.
この壁はとても冷たい感じがする。 	 This wall feels very cold.
今年の冬は暖冬です。 	 This winter has been mild.
今日は独立記念日です。 	 Today is Independence Day.
今日は他の予定があるんだけどな。 	 Today, I have other plans.
トムと私、カボチャを彫ったんだ。 	 Tom and I carved pumpkins.
トムとメアリーは姉弟です。 	 Tom and Mary are siblings.
トムとメアリーは二人とも笑った。 	 Tom and Mary both laughed.
トムとメアリーはタバコを吸っていた。 	 Tom and Mary were smoking.
トムはコーヒーのおかわりを頼んだ。 	 Tom asked for more coffee.
トムはアイスを全部食べた。 	 Tom ate all the ice cream.
トムは幽霊の存在を信じている。 	 Tom believes ghosts exist.
トムはトラックを中古で買った。 	 Tom bought his truck used.
トムが四六時中電話してくるの。 	 Tom calls me all the time.
トムはフランス語が上手い。 	 Tom can speak French well.
トムって自分でネクタイを締めれないんだ。 	 Tom can't tie his own tie.
トムはまだスプーンが使えない。 	 Tom can't use a spoon yet.
トムはコーヒーカップを集めてるんだ。 	 Tom collected coffee cups.
トムは微笑まずにはいられなかった。 	 Tom couldn't help smiling.
トムは非難されてしかるべきだ。 	 Tom deserves to be blamed.
トムはカメラを持って来ていなかった。 	 Tom didn't bring a camera.
トムは牛乳を飲まなかった。 	 Tom didn't drink the milk.
トムは飛行機事故で亡くなった。 	 Tom died in a plane crash.
トムには何もない。 	 Tom doesn't have anything.
トムは、そばかすがないね。 	 Tom doesn't have freckles.
トムはお酒を飲むのが嫌いです。 	 Tom doesn't like drinking.
トムはもうたばこを吸わない。 	 Tom doesn't smoke anymore.
トムは何も欲しくない。 	 Tom doesn't want anything.
トムはコーヒーを１杯飲んだ。 	 Tom drank a cup of coffee.
トムは報告書を改竄した。 	 Tom falsified the reports.
トムはメアリーにハイタッチした。 	 Tom gave Mary a high five.
トムは犬に襲われた。 	 Tom got attacked by a dog.
トムは馬に蹴られた。 	 Tom got kicked by a horse.
トムは朝食をササッと済ませた。 	 Tom had a quick breakfast.
トムは美声の持ち主だ。 	 Tom has a beautiful voice.
トムはボストンに家を持ってるんだ。 	 Tom has a house in Boston.
トムの笑顔いいね。 	 Tom has a very nice smile.
トムは髭をより合わせた。 	 Tom has braided his beard.
トムには投票権がある。 	 Tom has the right to vote.
トムはフランス語の勉強が大嫌いなんだよ。 	 Tom hates studying French.
トムは奇妙な音を耳にした。 	 Tom heard a strange noise.
トムは私をメアリーに紹介した。 	 Tom introduced me to Mary.
トムは学部卒だ。 	 Tom is a college graduate.
トムは院生だ。 	 Tom is a graduate student.
トムは寡欲な人だ。 	 Tom is a man of few wants.
トムは意気地なしだ。 	 Tom is a spineless coward.
トムはとてもいい人だよ。 	 Tom is a very good person.
トムは、とても優しい人だね。 	 Tom is a very kind person.
トムって、本当に失礼な人ね。 	 Tom is a very rude person.
トムはすでにそれをやっている。 	 Tom is already doing that.
トムはさぁ、いつも空想にふけってるよね。 	 Tom is always daydreaming.
トムは、賢い子です。 	 Tom is an intelligent boy.
トムはルールを破っている。 	 Tom is breaking the rules.
トムは歯磨きをしている。 	 Tom is brushing his teeth.
トムは爪を切っている。 	 Tom is clipping his nails.
トムは今お金を数えています。 	 Tom is counting money now.
トムはすでにそれをやっている。 	 Tom is doing that already.
トムは口髭を伸ばしている。 	 Tom is growing a mustache.
トムも庭にいるよ。 	 Tom is in the garden, too.
トムは誰からも好かれている。 	 Tom is liked by everybody.
トムなら地図見てるよ。 	 Tom is looking at the map.
トムは私の弟です。 	 Tom is my younger brother.
トムは外で雪かきしてるよ。 	 Tom is out shoveling snow.
トムは暗闇が怖い。 	 Tom is scared of the dark.
トムはイスに座っている。 	 Tom is sitting on a chair.
トムは思い上がってないか？ 	 Tom is stuck-up, isn't he?
トムは私たちにフランス語を教えている。 	 Tom is teaching us French.
トムは私と同じ年齢だ。 	 Tom is the same age as me.
トムならお皿洗ってるよ。 	 Tom is washing the dishes.
トムは名札を付けてるよ。 	 Tom is wearing a name tag.
トムは私ほどハゲてない。 	 Tom isn't as bald as I am.
トムはメアリーほどリッチじゃないよ。 	 Tom isn't as rich as Mary.
トムはメアリーほど背は高くないよ。 	 Tom isn't as tall as Mary.
トムは他の男の子たちと違う。 	 Tom isn't like other boys.
トムはメアリーのことをじっと見ていた。 	 Tom kept his eyes on Mary.
トムは自分が正しいことを知っている。 	 Tom knows that he's right.
トムはクラシック音楽が好きだ。 	 Tom likes classical music.
トムは一人旅が好きだ。 	 Tom likes to travel alone.
トムはスポーツ観戦が大好きだった。 	 Tom loved watching sports.
トムは石油で財を成した。 	 Tom made a fortune in oil.
トムは終電を逃した。 	 Tom missed the last train.
トムにはそれをするための時間が必要ね。 	 Tom needs time to do that.
トムは少し走っただけだよ。 	 Tom only ran a little bit.
トムはタバコを止めるべきだよ。 	 Tom ought to stop smoking.
トムはコーヒーよりお茶の方が好きです。 	 Tom prefers tea to coffee.
トムはサングラスをかけた。 	 Tom put on his sunglasses.
トムはめったに質問をしない。 	 Tom rarely asks questions.
トムはナイフに手を伸ばした。 	 Tom reached for his knife.
トムは質問を繰り返した。 	 Tom repeated his question.
トムは質問を繰り返した。 	 Tom repeated the question.
メアリーは忙しそうだったとトムが言った。 	 Tom said Mary seemed busy.
トムがお腹空いたって言ってたよ。 	 Tom said that he's hungry.
フランス語が話せるんですってね。トムが言ってましたよ。 	 Tom said you spoke French.
トムはメアリーの隣に座った。 	 Tom sat down next to Mary.
トムは長椅子に座った。 	 Tom sat down on the couch.
トムが腹減ったって言ってるよ。 	 Tom says that he's hungry.
トムはめったに質問をしない。 	 Tom seldom asks questions.
トムね、トムの部屋を見せてくれたんだ。 	 Tom showed his room to me.
毎朝、トムはシャワーをするよ。 	 Tom showers every morning.
トムは急ブレーキをかけた。 	 Tom slammed on the brakes.
トムは多くの言語を話す。 	 Tom speaks many languages.
トムはメアリーと同じように上手に泳げます。 	 Tom swims as well as Mary.
トムは老人のような話し方をする。 	 Tom talks like an old man.
トムは料理の仕方を私に教えてくれた。 	 Tom taught me how to cook.
トムに殺害すると脅された。 	 Tom threatened to kill me.
トムが名札を外したよ。 	 Tom took off his name tag.
トムは電気を消した。 	 Tom turned off the lights.
トムは電気を消した。 	 Tom turned out the lights.
トムはパスワードを入力した。 	 Tom typed in the password.
トムはよくここに入浸っていたんだよ。 	 Tom used to hang out here.
トムは普段フランス語を話してるよ。 	 Tom usually speaks French.
トムは一人の時間が欲しい。 	 Tom wants some alone time.
トムはメアリーと話がしたいんだ。 	 Tom wants to talk to Mary.
トムなら一晩中、家にいたよ。 	 Tom was at home all night.
トムは一日中、学校にいた。 	 Tom was at school all day.
トムは犬に襲われた。 	 Tom was attacked by a dog.
トムは馬に噛まれた。 	 Tom was bitten by a horse.
トムはシャツにアイロンかけてたよ。 	 Tom was ironing his shirt.
トムは恐怖のあまり立ちすくんだ。 	 Tom was paralyzed by fear.
トムはひどい怪我を負った。 	 Tom was seriously injured.
トムは長身のイケメンだった。 	 Tom was tall and handsome.
トムはとてもお行儀が良かった。 	 Tom was very well behaved.
トムは先週ここにいなかった。 	 Tom wasn't here last week.
トムはキッチンにはいなかったよ。 	 Tom wasn't in the kitchen.
トムはバスでボストンに行ったんだ。 	 Tom went to Boston by bus.
トムはきっと成功するでしょう。 	 Tom will succeed for sure.
今日トムは戻ってこないよ。 	 Tom won't come back today.
トムは決してメアリーを傷つけることはない。 	 Tom would never hurt Mary.
トムの兄は弁護士だ。 	 Tom's brother is a lawyer.
トムの服、みすぼらしかったわ。 	 Tom's clothes were shabby.
トムの健康は回復してきている。 	 Tom's health is improving.
トムの母親は、2013年に亡くなった。 	 Tom's mother died in 2013.
トム、私。今話せる？ 	 Tom, it's me. Can we talk?
明日はクリスマスだ。 	 Tomorrow is Christmas Day.
旅行に行くのはとても楽しい。 	 Traveling is a lot of fun.
無理しないでね。 	 Try to avoid overdoing it.
電気をつけてください。 	 Turn on the light, please.
鍵を右に回しなさい。 	 Turn the key to the right.
ラジオをつけてください。 	 Turn the radio on, please.
１０から２を引くと、８残る。 	 Two from ten leaves eight.
小瓶を２つお願いします。 	 Two small bottles, please.
トムはメアリーを見つけることができたの？ 	 Was Tom able to find Mary?
トムは昨日、仕事だった？ 	 Was Tom at work yesterday?
トムは本当のことを話してた？ 	 Was Tom telling the truth?
電話の相手はトムだったの？ 	 Was that Tom on the phone?
映画は面白かったですか？ 	 Was the movie interesting?
スリに用心しなさい。 	 Watch out for pickpockets.
スリに注意。 	 Watch out for pickpockets.
スリには気を付けろ。 	 Watch out for pickpockets.
私達は決勝戦に進出した。 	 We advanced to the finals.
私達はまだあまりお腹は空いていない。 	 We aren't very hungry yet.
私たちは昼から作業を開始した。 	 We began our work at noon.
私たちは今は誰も信用できない。 	 We can't trust anyone now.
そこで大きいのを捕まえたんだ。 	 We caught a big one there.
お前なんか、もう必要ない。 	 We don't need you anymore.
私たちは毎年夏に海外へ行きます。 	 We go abroad every summer.
私たちは非常に若くして夫婦になりました。 	 We got married very young.
私たちはしばらくおしゃべりをした。 	 We had a chat for a while.
ええ本当に。素晴らしい時間を過ごすことができました。 	 We had a really good time.
まだ先は長い。 	 We have a long ways to go.
僕らには何も共通点がない。 	 We have nothing in common.
規則は守らなければならない。 	 We have to obey the rules.
私たちは金銭的に彼を援助した。 	 We helped him financially.
現代は原子力の時代だ。 	 We live in the atomic age.
私達は海のすぐそばに住んでいた。 	 We lived close by the sea.
私たちはトムを助けなければならないかもしれない。 	 We might need to help Tom.
規則は守らなければならない。 	 We must observe the rules.
家を売却しないといけないんだ。 	 We need to sell our house.
トムについて話し合う必要があります。 	 We need to talk about Tom.
私たちは彼によい仕事を提供した。 	 We offered him a nice job.
４０分前に注文したのですが。 	 We ordered 40 minutes ago.
私たちには本当に時間がありません。 	 We really don't have time.
花と種を販売しています。 	 We sell flowers and seeds.
ハイキングは中止にしたほうがいいわね。 	 We should cancel the hike.
私たちもっと早く来れば良かったね。 	 We should've come earlier.
私たちは農家に泊まりました。 	 We stayed at a farm house.
私たちは母校を訪れた。 	 We visited our old school.
３時間待った。 	 We waited for three hours.
僕たちは海岸沿いを歩いたんだ。 	 We walked along the beach.
僕たちは川沿いを歩いたんだ。 	 We walked along the river.
私たちは池の周りを歩いた。 	 We walked around the pond.
私たちトムと話がしたいの。 	 We want to speak with Tom.
僕らは真夜中を過ぎて目を覚ました。 	 We woke up after midnight.
今日はこれで終わりにします。 	 We'll stop here for today.
私たちはここを出るところです。 	 We're about to leave here.
うちの猫、探してるんです。 	 We're looking for our cat.
私たちはあなたに対して話をしているんですよ、トム。 	 We're talking to you, Tom.
にっちもさっちもいかなくなった。 	 We're up against the wall.
僕らはトムを助けることに決めている。 	 We've decided to help Tom.
ああ、やっと着いた。 	 Well, here we are at last.
トムは見つけれた？ 	 Were you able to find Tom?
トムを助けることはできたの？ 	 Were you able to help Tom?
先週の月曜日って、忙しかった？ 	 Were you busy last Monday?
先週の月曜日って、ここにいた？ 	 Were you here last Monday?
本当にびっくりした？ 	 Were you really surprised?
昨夜は疲れてたの？ 	 Were you tired last night?
鯨は小魚をえさにしている。 	 Whales feed on small fish.
何の話ですか？ 	 What are you referring to?
どうしてボストンに来られたのですか？ 	 What brings you to Boston?
私があなたに何をしたというのですか。 	 What did I ever do to you?
トムは僕のこと何て言ってた？ 	 What did Tom say about me?
なぜそこへ行ったの？ 	 What did you go there for?
君は何をするつもりなの。 	 What do you plan on doing?
ビールを一杯どう？ 	 What do you say to a beer?
何か御用ですか。 	 What do you want me to do?
何が飲みたい？ 	 What do you want to drink?
どんな証拠があるんですか？ 	 What evidence do you have?
彼の言ったことは本当ではなかった。 	 What he said was not true.
これは一体何なんだ？ 	 What in the world is this?
どんなテストですか。 	 What kind of test is that?
私たちトムには何て言えばいいのかしら？ 	 What should we say to Tom?
何時に出発しますか。 	 What time are you leaving?
何時ごろ出かけるの? 	 What time are you leaving?
ボストンは今何時ですか？ 	 What time is it in Boston?
そちらは今何時ですか？ 	 What time is it there now?
私が忘れてきたものって、何だった？ 	 What was it I left behind?
そこで何をしてたの？ 	 What were you doing there?
日本はどうなるんだろう。 	 What will become of Japan?
何がしたい？ 	 What would you like to do?
何が飲みたい？ 	 What'll you have to drink?
何の話？ 	 What're you talking about?
メアリーの旧姓って、何？ 	 What's Mary's maiden name?
今日の晩ごはん何？ 	 What's for dinner tonight?
何だって私の本がこんなところにあるんだろう。 	 What's my book doing here?
あの高い建物は何なの？ 	 What's that tall building?
今日の予定は？ 	 What's the plan for today?
この花は何と言いますか。 	 What's this flower called?
生年月日はいつ？ 	 What's your date of birth?
好きな食べ物は？ 	 What's your favorite food?
お気に入りの歌は何ですか。 	 What's your favorite song?
あなたの友達の名前は何ですか。 	 What's your friend's name?
いつその帽子を買ったの？ 	 When did you buy that hat?
車っていつ買ったの？ 	 When did you buy your car?
いつタバコやめたの？ 	 When did you quit smoking?
上映は何時からですか。 	 When does the movie start?
映画はいつ始まるの？ 	 When does the movie start?
トムはいつ家に帰るの？ 	 When will Tom return home?
いつ結婚するの？ 	 When will you get married?
どこに行ったら助けてもらえますか。 	 Where can I get some help?
どこでチケットを手に入れることができますか。 	 Where can you get tickets?
学校はどちらですか。 	 Where do you go to school?
一番近い銀行はどこにありますか。 	 Where is the nearest bank?
そのナイフどこで見つかったの？ 	 Where was the knife found?
あの晩どこにいたの？ 	 Where were you that night?
一番近いホテルはどこですか？ 	 Where's the nearest hotel?
君は誰のことを言っているのか。 	 Who are you talking about?
それ誰にもらったの？ 	 Who did you get that from?
これ誰にもらったんですか？ 	 Who did you get this from?
誰が勝つと思う？ 	 Who do you think will win?
ギターを弾いているのは誰ですか。 	 Who is playing the guitar?
誰がこの絵を描いたのですか。 	 Who painted this painting?
この絵を描いたのは誰ですか？ 	 Who painted this painting?
トムと話していたのは誰ですか？ 	 Who was speaking with Tom?
誰と話してたの？ 	 Who were you talking with?
好きな俳優は誰ですか。 	 Who's your favorite actor?
何で私のこと見てるの？ 	 Why are you looking at me?
どうして私たちの方を見てるの？ 	 Why are you looking at us?
なんでトムはメアリーに尋ねたの？ 	 Why did Tom ask Mary that?
なんでこんなに早く来たの？ 	 Why did you come so early?
なんでそれをトムに見せたの？ 	 Why did you show Tom that?
なぜ私を信じてくれなかったのですか。 	 Why didn't you believe me?
どうしてトムの手伝いをしないといけないの？ 	 Why do I have to help Tom?
なんでトムにお金をあげるの？ 	 Why do you give Tom money?
なぜそのように思うのですか。 	 Why do you think that way?
何でそんなふうに考えるの？ 	 Why do you think that way?
なんでトムはナイフが必要なの？ 	 Why does Tom need a knife?
クッキー作ろうよ。 	 Why don't we bake cookies?
１つの部屋に一緒に住まないか。 	 Why don't we share a room?
一服しませんか？ 	 Why don't we take a break?
何でやってみないの？ 	 Why don't you just try it?
なんで今日トムいないの？ 	 Why is Tom not here today?
なんでみんな笑ってんの？ 	 Why is everybody laughing?
何で学校に行かないといけないの？ 	 Why should I go to school?
明日は晴れるでしょうか。 	 Will it be sunny tomorrow?
コーヒーを飲みますか。 	 Will you have some coffee?
お塩取ってくれる？ 	 Will you pass me the salt?
明日って、トムに会う？ 	 Will you see Tom tomorrow?
このスープ、温め直してもらえる？ 	 Will you warm up the soup?
駟も舌に及ばず。 	 Words can't be taken back.
パンはいかがですか？ 	 Would you like some bread?
サラダはいかがですか。 	 Would you like some salad?
君も一緒にどう？ 	 Would you like to join us?
ここにあなたの名前を書きなさい。 	 Write down your name here.
１行ずつ空けて書きなさい。 	 Write on every other line.
昨日は僕の誕生日だった。 	 Yesterday was my birthday.
トムに賛成でしょ？ 	 You agree with Tom, right?
いつも言い訳ばかりだな。 	 You always have an excuse.
お前も聖人君子じゃないだろう。 	 You aren't a saint either.
今日はいつもの君らしくない。 	 You aren't yourself today.
行きたければ行けば。 	 You can go if you want to.
僕の辞書、使っていいよ。 	 You can use my dictionary.
出席できないって？何でだよ？ 	 You can't attend? Why not?
長い物には巻かれろ。 	 You can't fight city hall.
全ての人を喜ばせることはできない。 	 You can't please everyone.
応じなくていいよ。 	 You don't have to respond.
手伝ってくれなくてもいいよ。 	 You don't need to help me.
まだ納得していないようだね。 	 You don't sound convinced.
すぐに行った方がいいですよ。 	 You had better go at once.
すぐに行かないとまずいよ。 	 You had better go at once.
私のこと全然分かってないわ。 	 You have no idea who I am.
君はとてもいい味覚をしてるよ。 	 You have very good tastes.
警官みたいですね。 	 You look like a policeman.
あなたは同じ過ちを犯した。 	 You made the same mistake.
君は、試験には受からないかもね。 	 You may not pass the test.
私の辞書を使ってもいいよ。 	 You may use my dictionary.
あなたは、きっと、今とても忙しいのでしょう。 	 You must be very busy now.
夜更かしは駄目だからね。 	 You must not stay up late.
医者に見てもらったほうがいい。 	 You ought to see a doctor.
禁煙すべきだ。 	 You ought to stop smoking.
本当によくやってくれたね。 	 You really did a good job.
その映画を見たよね？ 	 You saw that movie, right?
それはこうすればいいですよ。 	 You should do it this way.
少しのんびりしたほうがいいですよ。 	 You should relax a little.
真実を言うべきだ。 	 You should tell the truth.
君は今彼女と会わない方がいいよ。 	 You shouldn't see her now.
流暢にフランス語を話すわね。 	 You speak French fluently.
理解してるんだよね？ 	 You understand, don't you?
いい奥さんになるよ。 	 You will make a good wife.
早起きしたほうが良い。 	 You'd better get up early.
トムには言わない方がいいよ。 	 You'd better not tell Tom.
医者に診てもらった方がいいよ。 	 You'd better see a doctor.
タバコを止めた方が良いよ。 	 You'd better stop smoking.
あなたなら良い先生になるでしょう。 	 You'd make a good teacher.
また別のチャンスがあるさ。 	 You'll get another chance.
やってみれば旨く行くよ。 	 You'll succeed if you try.
君こそ本当の働き者だ。 	 You're a real hard worker.
バカな真似はよせ。 	 You're acting like a fool.
ずっとテレビ見てるよね。 	 You're always watching TV.
今日は随分おしゃれだね。 	 You're very stylish today.
おまえ、よく覚えてるなあ！ 	 You've got a great memory.
まだたっぷり時間がありますよ。 	 You've got plenty of time.
私の名前の綴り間違えてるし。 	 You've misspelled my name.
バッテリー残量が少なくなっています。 	 Your battery power is low.
あなたの時計は机の上にある。 	 Your watch is on the desk.
３の３乗は２７である。 	 3 to the third power is 27.
「それって、本当のこと？」「そうだと思う」 	 Is it true? "I think so."
「何故？」「何故だか、分かりません」 	 Why? "I do not know why."
猫がソファーの上に寝ている。 	 A cat is lying on the sofa.
名案が浮かんだ。 	 A good idea occurred to me.
１人の男が戸口に現れた。 	 A man appeared at the door.
1分は60秒です。 	 A minute has sixty seconds.
何よりもまず、食事に気をつけなさい。 	 Above all, watch your diet.
終わりよければすべてよし。 	 All is well that ends well.
犬はみんな生きていました。 	 All of the dogs were alive.
生徒たちはみんな休日が好きだ。 	 All students like holidays.
恋愛と戦争では手段を選ばない。 	 All's fair in love and war.
恋と戦は手段を選ばず。 	 All's fair in love and war.
りんごが木から落ちた。 	 An apple fell off the tree.
だれでも間違いを犯すことがある。 	 Anybody can make a mistake.
窓は全部、鍵かかってる？ 	 Are all the windows locked?
猫は犬より賢いんですか？ 	 Are cats smarter than dogs?
このサングラスって、トムの？ 	 Are these sunglasses Tom's?
日本人ですか。 	 Are you a Japanese citizen?
日本の学生さんですか？ 	 Are you a Japanese student?
オルガンは弾けますか？ 	 Are you able to play organ?
あなたは暗いの苦手ですか？ 	 Are you afraid of the dark?
これ全部あなたの責任？ 	 Are you behind all of this?
私が泥棒だって言うの？ 	 Are you calling me a thief?
トムと張り合ってるの？ 	 Are you competing with Tom?
緑茶を飲んでるの？ 	 Are you drinking green tea?
これに詳しい？ 	 Are you familiar with this?
これ、トムにあげるの？ 	 Are you giving this to Tom?
戻ってくる予定なの？ 	 Are you going to come back?
そのパーティーに行くの？ 	 Are you going to the party?
歩いて家に帰るつもりなの？ 	 Are you going to walk home?
バスケットボールは得意ですか？ 	 Are you good at basketball?
楽しくやっていますか。 	 Are you having a good time?
楽しく過ごしてる？ 	 Are you having a good time?
何か飲んでいる薬はありますか？ 	 Are you on any medications?
ご注文はお決まりですか？ 	 Are you ready to order now?
私が臭うってこと？ 	 Are you saying I smell bad?
それ本気なの？ 	 Are you serious about that?
今もベジタリアンなの？ 	 Are you still a vegetarian?
まだ気持ち悪い？ 	 Are you still feeling sick?
まだゴルフをしているのですか。 	 Are you still playing golf?
本当にトムができるの？ 	 Are you sure Tom can do it?
本当にトムは来るの？ 	 Are you sure Tom will come?
本当に、これはトムのですか？ 	 Are you sure this is Tom's?
トムのこと考えてるの？ 	 Are you thinking about Tom?
２人とも大体終わった？ 	 Are you two about finished?
随分失礼なんじゃない？ 	 Aren't you being very rude?
駅までの道は彼に聞いて。 	 Ask him the way to station.
しまいに彼は泣き出した。 	 At length, he began to cry.
銀行は9時に開店します。 	 Banks open at nine o'clock.
バスケットボールはとても面白い。 	 Basketball is a lot of fun.
蜜蜂は私達に蜜を与えてくれる。 	 Bees provide us with honey.
ここではスリに気をつけて。 	 Beware of pickpockets here.
トムもメアリーも両方ともお金持ちになったよ。 	 Both Tom and Mary got rich.
朝食はバイキング形式だって。 	 Breakfast is a smorgasbord.
お水の入ったバケツ持ってきて。 	 Bring me a bucket of water.
はさみを貸してもらえますか。 	 Can I borrow your scissors?
傘を貸してもらえないかな？ 	 Can I borrow your umbrella?
トムの写真見てもいい？ 	 Can I see a picture of Tom?
ちょっと会えるかな？ 	 Can I see you for a moment?
もう一回やってみてもいいですか？ 	 Can I try doing that again?
このなぞなぞわかる？ 	 Can you answer this riddle?
タクシーを呼んでいただけませんか？ 	 Can you call a taxi for me?
帰り道は分かりますか。 	 Can you find your way home?
もう少し安くなりませんか。 	 Can you give me a discount?
一万円貸してくれない？ 	 Can you lend me 10,000 yen?
その違いが分かりますか。 	 Can you see the difference?
この問題が解けますか。 	 Can you solve this problem?
1時間ほどお待ちいただけますか？ 	 Can you wait about an hour?
猫は濡れるのを嫌がる。 	 Cats don't like to get wet.
子供ってすぐ眠くなっちゃうからな。 	 Children get tired quickly.
クリスマスは１２月２５日です。 	 Christmas is December 25th.
冷たい飲み物が出されます。 	 Cold drinks will be served.
大学なんてさ、時間の無駄遣いだよ。 	 College is a waste of time.
こっちに来て参加してよ。 	 Come over here and join us.
いつでも事務所にいらしてください。 	 Come to my office any time.
傘をお借りしてもいいですか？ 	 Could I borrow an umbrella?
御茶をもう少しいただけますか。 	 Could I have some more tea?
説明してくれる？ 	 Could you explain it to me?
これを預かっていただけませんか。 	 Could you keep this for me?
声を小さくしてくださいませんか？ 	 Could you lower your voice?
